Country,ObjectId,Country,Indicator,Unit,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
11,12,Australia,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.549,0.82,0.281,0.484,0.221,0.413,0.604,0.383,1.092,0.58,0.148,0.336,0.736,0.835,0.723,1.211,0.721,0.929,0.625,1.03,0.673,0.208,0.308,1.499,1.198,1.087,1.172,1.141,1.129,1.422,1.416,0.629
26,27,Brazil,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.435,0.468,0.403,0.495,0.608,0.799,0.504,0.671,1.234,0.523,0.495,0.746,1.052,0.927,0.768,1.085,0.77,0.969,0.731,0.969,1.112,0.814,1.023,0.922,1.153,1.516,1.457,1.363,1.148,1.517,1.477,1.154
35,36,Canada,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.078,0.336,0.1,0.342,0.467,0.938,-0.125,0.426,2.47,1.694,1.291,1.421,0.54,1.24,0.485,1.282,2.343,1.333,0.851,0.539,2.915,1.438,2.144,1.182,0.288,1.231,2.373,1.48,0.477,1.311,1.128,2.515
42,43,"China, P.R.: Mainland","Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.852,0.52,0.13,0.281,0.733,0.577,0.21,0.733,1.264,1.231,0.572,1.038,1.131,0.822,1.112,1.048,1.232,1.538,1.09,1.336,0.968,0.792,0.626,1.073,1.062,1.297,1.319,1.573,1.361,1.422,1.62,1.701
69,70,France,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.591,0.257,0.659,0.325,1.547,1.326,0.188,1.24,0.947,1.199,1.175,1.391,1.054,1.8,0.969,1.02,1.306,1.407,0.992,1.212,0.395,1.534,1.22,0.714,2.049,1.612,1.794,1.796,2.06,2.023,2.551,1.337
74,75,Germany,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.571,0.286,1.228,0.31,1.625,1.307,-0.699,0.558,1.153,1.367,1.764,1.292,1.491,1.258,0.998,1.025,1.254,2.088,1.542,1.282,0.196,1.121,1.349,0.583,2.519,1.674,1.988,1.653,2.393,2.332,2.516,1.325
90,91,India,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,-0.081,0.19,0.035,0.223,0.107,0.238,0.339,-0.064,0.614,0.468,0.35,0.473,0.827,0.665,0.545,0.567,0.638,0.607,0.263,1.134,1.129,0.365,0.516,0.451,0.53,0.711,1.088,0.966,0.874,0.802,0.52,0.733
97,98,Italy,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.132,0.029,0.542,0.527,1.513,0.418,0.233,0.931,0.969,0.918,1.243,1.533,0.913,1.526,0.746,0.563,0.84,1.552,1.133,1.234,0.755,1.253,1.543,1.006,1.638,1.704,1.716,1.606,1.834,1.698,1.902,1.569
99,100,Japan,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.132,0.726,0.333,0.012,0.965,0.348,-0.127,0.454,1.199,0.948,0.636,0.418,0.63,0.326,1.116,0.737,0.39,1.004,0.671,0.801,0.922,0.596,0.395,0.628,0.56,0.833,1.323,0.796,0.926,1.272,1.437,1.27
165,166,Russian Federation,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,,,0.359,0.951,0.572,2.101,0.808,1.277,-0.035,0.413,1.319,0.813,1.589,0.992,1.397,1.702,0.551,2.49,2.223,1.192,0.88,1.704,1.933,1.166,1.753,2.246,2.459,2.127,2.043,2.178,3.691,1.643
210,211,United Kingdom,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,1.016,0.21,0.522,-0.015,0.413,1.119,-0.142,0.882,0.86,1.133,0.724,0.631,1.011,1.194,1.035,1.116,1.25,1.332,0.838,0.948,-0.05,0.851,0.576,0.364,1.718,0.614,1.161,1.424,0.998,1.231,1.373,0.929
211,212,United States,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,0.674,0.527,0.395,0.004,0.466,0.63,-0.011,0.384,1.272,0.758,1.0,0.786,0.951,0.99,0.863,1.153,1.026,1.143,0.212,0.398,0.695,0.537,1.448,0.614,0.501,1.531,2.224,1.433,1.276,1.034,1.324,1.144
